𝠃𝤐𝤎񅳁𝣼𝣿	¿a
𝠀񀀂񆡁񆡁񆡁񈙇񋾡𝠃𝥌𝤘񆡁𝤰𝣹񀀂𝤖𝣺񋾡𝣴𝣵񈙇𝤮𝤅񆡁𝤞𝣹񆡁𝤧𝣹	¿daydream
𝠀񀀂񋗡񋾡𝠃𝤭𝤘񋾡𝣴𝣵񀀂𝤓𝣷񋗡𝤖𝣡	¿consideration
𝠀񀀂񍋁񇿥񇿵񆄥񆄡񋲡񋸥𝠃𝤠𝥷񋸥𝤀𝥤񋲡𝤁𝥰񍋁𝣴𝣵񇿥𝤎𝤫񇿵𝣬𝤴񆄡𝤍𝥊񆄥𝣫𝥔񀀂𝤋𝤈	¿look-strong
𝠀񀀂񍋁񇿥񇿵񆄥񆄡񋲡񋸥𝠃𝤠𝥷񋸥𝤀𝥤񋲡𝤁𝥰񍋁𝣴𝣵񇿥𝤎𝤫񇿵𝣬𝤴񆄡𝤍𝥊񆄥𝣫𝥔񀀂𝤋𝤈	¿Resemble
𝠀񀀂񍋁񇿥񇿵񆄥񆄡񋲡񋸥𝠃𝤠𝥷񋸥𝤀𝥤񋲡𝤁𝥰񍋁𝣴𝣵񇿥𝤎𝤫񇿵𝣬𝤴񆄡𝤍𝥊񆄥𝣫𝥔񀀂𝤋𝤈	¿look-like-someone
𝠀񀀂񍋁񇿥񇿵񆄥񆄡񋲡񋸥𝠃𝤠𝥷񋸥𝤀𝥤񋲡𝤁𝥰񍋁𝣴𝣵񇿥𝤎𝤫񇿵𝣬𝤴񆄡𝤍𝥊񆄥𝣫𝥔񀀂𝤋𝤈	¿strongly resemble
𝠀񀀃񀀋񈗧񈗳񆇡񂈁񂈉񆿅񆿕񋸡𝠃𝤬𝤸񀀃𝤎𝣪񀀋𝣡𝣪񆇡𝤁𝣘񈗧𝤛𝣔񈗳𝣡𝣕񂈁𝤑𝤅񂈉𝣱𝤅񋸡𝣾𝣸񆿅𝤒𝤩񆿕𝣯𝤩	¿enemy
񀀋񉍫񉍳𝠃𝥂𝤗񀀃𝤉𝤈񀀋𝣥𝤈񉍳𝣋𝣷񉍫𝤥𝣶	¿extreme
𝠀񀀂񆫡񍦁𝠃𝤮𝤫񍦁𝣴𝣵񀀂𝤅𝤍񆫡𝤜𝤖	¿pill
𝠀񀀂񋗡񋾡𝠃𝤯𝤘񋾡𝣴𝣵񀀂𝤚𝣺񋗡𝤖𝣟	¿contemplation
𝠀񀀂񍋁񊤡𝠃𝤺𝤨񀀂𝤆𝤊񍋁𝣴𝣵񊤡𝤠𝤀	¿boring
𝠀񀀃񀀋񈙓񈙇𝠃𝤿𝤘񀀋𝣦𝣵񀀃𝤉𝣵񈙓𝣍𝤈񈙇𝤡𝤈	¿opposite
𝠀񀀃񀀋񉍫񉍳񋸡𝠃𝤻𝤚񀀃𝤊𝤋񀀋𝣦𝤋񉍫𝤞𝣸񉍳𝣒𝣺񋸡𝣼𝣲	¿oppose
𝠀񀀂񆿄񀕂𝠃𝤠𝤣񀀂𝤋𝣩񆿄𝤃𝤄񀕂𝣭𝤅	¿one-half
𝠀񀀂񆿄񀕂𝠃𝤠𝤣񀀂𝤋𝣩񆿄𝤃𝤄񀕂𝣭𝤅	¿one half
𝠀񀀂񆿄񀕂𝠃𝤠𝤣񀀂𝤋𝣩񆿄𝤃𝤄񀕂𝣭𝤅	¿1/2
𝠀񀀂񋣡񃧡񈩣񋾡𝠃𝤳𝥨񋣡𝤀𝣹񋾡𝣴𝣵񀀂𝤜𝤅񃧡𝤗𝤧񈩣𝤡𝥀	¿looks like
𝠀񀀃񀀋񆇡񈗧񈗳񂈁񂈉񈙅񈙕𝠃𝥌𝤦񀀋𝣨𝣳񀀃𝤉𝣳񈗳𝣗𝣪񆇡𝤃𝣷񈗧𝤧𝣪񂈁𝤿𝣧񂈉𝣃𝣨񈙕𝣁𝤈񈙅𝤼𝤈	¿foe
𝠀񀀃񀀋񈟃񈟗𝠃𝤭𝤞񀀋𝣟𝣯񀀃𝤏𝣮񈟃𝤒𝤃񈟗𝣮𝤃	¿injure
𝠀񀀃񀀋񈟃񈟗𝠃𝤭𝤞񀀋𝣟𝣯񀀃𝤏𝣮񈟃𝤒𝤃񈟗𝣮𝤃	¿injury
𝠀񀀃񀀋񊛡񊛱񋸢𝠃𝤡𝤨񀀃𝤃𝤎񀀋𝣫𝤙񊛡𝤋𝣯񊛱𝣫𝣺񋸢𝣸𝣤	¿go
𝠀񀀂񆿅񍪡񀀃񀀋񋁏񋁗񋸤𝠃𝤺𝥰񀀂𝤈𝤑񍪡𝣴𝣵񀀋𝤆𝥡񆿅𝤌𝤲񋁏𝣥𝤻񋁗𝤤𝥔񀀃𝣹𝥈񋸤𝣶𝥖	¿tell everyone
𝠀񀀂񋣡񇿥񇿵񆄡񆄥񋸥񋲡񋾡𝠃𝤧𝥲񋾡𝣴𝣵񋣡𝣿𝣹񀀂𝤒𝤃񇿥𝤑𝤦񇿵𝣯𝤯񆄡𝤐𝥅񆄥𝣮𝥏񋸥𝤃𝥟񋲡𝤄𝥫	¿look-strong
𝠀񀀂񋣡񇿥񇿵񆄡񆄥񋸥񋲡񋾡𝠃𝤧𝥲񋾡𝣴𝣵񋣡𝣿𝣹񀀂𝤒𝤃񇿥𝤑𝤦񇿵𝣯𝤯񆄡𝤐𝥅񆄥𝣮𝥏񋸥𝤃𝥟񋲡𝤄𝥫	¿Resemble
𝠀񀀂񋣡񇿥񇿵񆄡񆄥񋸥񋲡񋾡𝠃𝤧𝥲񋾡𝣴𝣵񋣡𝣿𝣹񀀂𝤒𝤃񇿥𝤑𝤦񇿵𝣯𝤯񆄡𝤐𝥅񆄥𝣮𝥏񋸥𝤃𝥟񋲡𝤄𝥫	¿look-like-someone
𝠀񀀂񋣡񇿥񇿵񆄡񆄥񋸥񋲡񋾡𝠃𝤧𝥲񋾡𝣴𝣵񋣡𝣿𝣹񀀂𝤒𝤃񇿥𝤑𝤦񇿵𝣯𝤯񆄡𝤐𝥅񆄥𝣮𝥏񋸥𝤃𝥟񋲡𝤄𝥫	¿strongly resemble
𝠀񀀃񀀋񆇡񈙇񈙓񋾡𝠃𝥏𝤘񀀃𝤍𝣜񀀋𝣬𝣜񋾡𝣴𝣵񈙇𝤱𝣛񈙓𝣋𝣚񆇡𝤆𝣟	¿Antonym
𝠀񀀃񀀋񈟃񈟗𝠃𝤭𝤞񀀋𝣟𝣯񀀃𝤏𝣮񈟃𝤒𝤃񈟗𝣮𝤃	¿pain
𝠀񀀃񀀋񊛥񊛵񋸦𝠃𝤢𝤥񀀋𝣫𝣱񀀃𝤄𝣧񊛥𝤒𝣾񊛵𝣯𝤈񋸦𝤂𝤙	¿come
𝠀񀀂񈙁񄶁񄶉񇀥񇀵񌀁𝠃𝤬𝥠񌀁𝣴𝣵񀀂𝤕𝣻񈙁𝤗𝣣񄶁𝤖𝤠񄶉𝣨𝤠񇀥𝤗𝥁񇀵𝣫𝥂	¿make up your mind
𝠀񀀂񋣡񋾡𝠃𝤧𝤡񋾡𝣴𝣵񋣡𝣿𝣹񀀂𝤒𝤃	¿face
𝠀񀀂񋣡񋾡𝠃𝤧𝤡񋾡𝣴𝣵񋣡𝣿𝣹񀀂𝤒𝤃	¿facial
𝠀񀀃񀀋񆇡񉌋񉌓񋸡񋲱񋲱𝠃𝤲𝤟񆇡𝤀𝤂񀀃𝤇𝤐񀀋𝣥𝤐񉌋𝤜𝣽񉌓𝣚𝣾񋸡𝣾𝣷񋲱𝤠𝣮񋲱𝣟𝣮	¿disagree
𝠀񀀃񀀋񈟃񈟗񋸥𝠃𝤧𝤞񀀃𝤉𝣯񀀋𝣦𝣯񈟃𝤘𝤁񈟗𝣨𝤁񋸥𝣿𝤘	¿sore
𝠀񀀃񀀋񊲆񊲖񋸦𝠃𝤪𝤧񀀃𝤃𝣦񀀋𝣢𝣭񊲖𝣧𝤂񊲆𝤘𝤂񋸦𝤀𝤛	¿come
𝠀񀀂񉃉񌒁𝠃𝤮𝤛񌒁𝣴𝣵񀀂𝤙𝣽񉃉𝤕𝣙	¿for
𝠀񀀂񉃉񌒁𝠃𝤮𝤛񌒁𝣴𝣵񀀂𝤙𝣽񉃉𝤕𝣙	¿for!
𝠀񀀂񋣡񋾡𝠃𝤱𝤣񋣡𝤀𝣹񋾡𝣴𝣵񀀂𝤜𝤅	¿look
𝠀񀀃񀀋񆇡񉍫񉍳񋲱񋲱𝠃𝤿𝤝񀀃𝤋𝤎񀀋𝣧𝤎񉍫𝤡𝣾񉍳𝣑𝣿񆇡𝤃𝤂񋲱𝤳𝣯񋲱𝣎𝣯	¿country
𝠀񀀃񀀋񈟃񈟗񋸥𝠃𝤩𝤞񀀃𝤋𝣮񀀋𝣣𝣮񈟃𝤔𝤃񈟗𝣬𝤃񋸥𝣿𝤘	¿hurts
𝠀񀀃񀀋񋜉񋜙񋺅𝠃𝤦𝤧񀀃𝤈𝤏񀀋𝣩𝤘񋜉𝣿𝣦񋜙𝣦𝣥񋺅𝣴𝤊	¿roll
𝠀񀀃񀀋񎣡񇆡񇆱񆕁𝠃𝤨𝤪񀀃𝤈𝤛񀀋𝣠𝤚񇆡𝤏𝤆񇆱𝣠𝤆񎣡𝣱𝣢񆕁𝣽𝤄	¿living
𝠀񀀃񀭋񆉁𝠃𝤢𝤙񀭋𝣱𝤂񀀃𝤄𝣿񆉁𝣫𝣳	¿first of three
𝠀񀀃񂈁񈦣񆇡񋾡𝠃𝤙𝥚񂈁𝣳𝤡񀀃𝣻𝤠񈦣𝤋𝤲񆇡𝤀𝤯񋾡𝣴𝣵	¿seldom
𝠀񀀃񆙡񆿅񋾱	¿Portugal
𝠀񀀃񀀙񆕁񆿅񆞕𝠃𝤧𝤘	¿month
𝠀񀀃񀭋񆉁𝠃𝤢𝤙񀭋𝣱𝤂񀀃𝤄𝣿񆉁𝣫𝣳	¿first on the list of three
𝠀񀀃񁲋񇬎񍏡𝠃𝤟𝥍񁲋𝣩𝤨񀀃𝤁𝤤񇬎𝤀𝤸񍏡𝣮𝣵	¿etc.
𝠀񀀃񁲋񇬎񍏡𝠃𝤟𝥍񁲋𝣩𝤨񀀃𝤁𝤤񇬎𝤀𝤸񍏡𝣮𝣵	¿various
𝠀񀀃񂈉񆕁񆿅𝠃𝤝𝤡񂈉𝣯𝣬񀀃𝣿𝣵񆿅𝣾𝤒񆕁𝣾𝤄	¿what
𝠀񀀃񀀙񇆥񆕁𝠃𝤜𝤡񇆥𝤃𝤓񆕁𝤈𝤅񀀙𝣵𝣫񀀃𝣰𝣲	¿monthly
𝠀񀀃񀭋񆉁𝠃𝤤𝤗񀭋𝣨𝤀񀀃𝤆𝤅񆉁𝣽𝣶	¿second of three
𝠀񀀃񁲱񈙡񋾡𝠃𝤘𝤼񁲱𝣗𝤖񀀃𝣟𝤭񈙡𝣛𝣵񋾡𝣴𝣵	¿mediate
𝠀񀀃񂈉񆕁񆿈𝠃𝤜𝤜񂈉𝣱𝤀񀀃𝣾𝤍񆕁𝣿𝣼񆿈𝤉𝣱	¿once
𝠀񀀃񈚧񎟁𝠃𝤣𝤞񈚧𝣹𝤎񀀃𝣙𝤏񎟁𝣴𝣯	¿peril
𝠀񀀃񈚧񎟁𝠃𝤣𝤞񈚧𝣹𝤎񀀃𝣙𝤏񎟁𝣴𝣯	¿cutthroat
𝠀񀀃񀀙񈙂񆇡𝠃𝤢𝤛񀀃𝣫𝣲񀀙𝣪𝣴񆇡𝣮𝣶񈙂𝤌𝤅	¿to
𝠀񀀃񁦋񆇡𝠃𝤟𝤙񁦋𝣭𝣴񀀃𝤁𝤊񆇡𝣴𝤌	¿fourth
𝠀񀀃񁦋񆇡𝠃𝤟𝤙񁦋𝣭𝣴񀀃𝤁𝤊񆇡𝣴𝤌	¿4th
𝠀񀀃񁦋񆇡𝠃𝤟𝤙񁦋𝣭𝣴񀀃𝤁𝤊񆇡𝣴𝤌	¿four in a list
𝠀񀀃񂇙񈁡񆇡𝠃𝤜𝤠񀀃𝣾𝤎񂇙𝣱𝤅񆇡𝣿𝤓񈁡𝤀𝣬	¿reveal
𝠀񀀃񂌩񆙡񋚥𝠃𝤟𝤡񂌩𝣭𝤂񀀃𝤁𝤈񆙡𝤃𝤓񋚥𝤄𝣫	¿coin
𝠀񀀃񋁁񆇡񌀈𝠃𝤳𝤘񌀈𝣴𝣵񀀃𝤕𝣶񋁁𝤌𝣥񆇡𝤀𝣩	¿government
𝠀񀀃񀀙񉌂񆇡𝠃𝤦𝤝񀀙𝣩𝣿񀀃𝣯𝣾񆇡𝣦𝣰񉌂𝤒𝣿	¿until
𝠀񀀃񁲋񆇡𝠃𝤞𝤘񁲋𝣯𝤁񀀃𝤀𝣺񆇡𝣳𝣵	¿first of five
𝠀񀀃񂇙񈘁񆇡𝠃𝤛𝤚񀀃𝣽𝤊񂇙𝣱𝣿񆇡𝣾𝤏񈘁𝣾𝣳	¿indicate
𝠀񀀃񂇙񈘁񆇡𝠃𝤛𝤚񀀃𝣽𝤊񂇙𝣱𝣿񆇡𝣾𝤏񈘁𝣾𝣳	¿speak
𝠀񀀃񋁁񆇡񌀈𝠃𝤹𝤘񌀈𝣴𝣵񀀃𝤒𝣹񆇡𝤌𝣫񋁁𝤜𝣢	¿government
𝠀񀀃񀕋񆇡𝠃𝤣𝤔񀕋𝣪𝣹񆇡𝣿𝤉񀀃𝤅𝤂	¿second in a list
𝠀񀀃񀕋񆇡𝠃𝤣𝤔񀕋𝣪𝣹񆇡𝣿𝤉񀀃𝤅𝤂	¿2nd
𝠀񀀃񀕋񆇡𝠃𝤣𝤔񀕋𝣪𝣹񆇡𝣿𝤉񀀃𝤅𝤂	¿second
𝠀񀀃񁲋񆇡𝠃𝤟𝤚񁲋𝣭𝣳񀀃𝤁𝤋񆇡𝣴𝤊	¿5th
𝠀񀀃񁲋񆇡𝠃𝤟𝤚񁲋𝣭𝣳񀀃𝤁𝤋񆇡𝣴𝤊	¿Fifth
𝠀񀀃񁲋񆇡𝠃𝤟𝤚񁲋𝣭𝣳񀀃𝤁𝤋񆇡𝣴𝤊	¿five in a list
𝠀񀀃񁲋񆇡𝠃𝤟𝤚񁲋𝣭𝣳񀀃𝤁𝤋񆇡𝣴𝤊	¿five of five
𝠀񀀃񂇙񈙡𝠃𝤛𝤟񂇙𝣲𝤃񀀃𝣽𝤐񈙡𝤂𝣮	¿portray
𝠀񀀃񅰩񈗥񆇡𝠃𝤜𝤠񈗥𝣻𝣭񀀃𝣾𝤅񅰩𝣶𝤈񆇡𝣱𝣼	¿first
𝠀񀀃񅰩񈗥񆇡𝠃𝤜𝤠񈗥𝣻𝣭񀀃𝣾𝤅񅰩𝣶𝤈񆇡𝣱𝣼	¿1st
𝠀񀀃񋁁񎑡𝠃𝤣𝤨񎑡𝣴𝣵񀀃𝤅𝤙񋁁𝣣𝤕	¿say
𝠀񀀃񀭋񆇡𝠃𝤟𝤘񀭋𝣭𝤁񀀃𝤁𝣾񆇡𝣵𝣴	¿first of three
𝠀񀀃񁲋񆇡𝠃𝤣𝤘񁲋𝣪𝣵񀀃𝤅𝤇񆇡𝤂𝤍	¿fourth of five
𝠀񀀃񂇙񋲡𝠃𝤙𝤖񂇙𝣴𝣻񀀃𝣻𝤅񋲡𝤂𝣶	¿mark
𝠀񀀃񆇡񎱃𝠃𝤜𝤢񎱃𝣲𝣫񀀃𝣾𝤓񆇡𝣰𝤒	¿elbow
𝠀񀀃񋜁񆇡񋾡𝠃𝥃𝤝񋾡𝣴𝣵񀀃𝤎𝤊񆇡𝤁𝤄񋜁𝤴𝣽	¿nosy
𝠀񀀃񀭋񆇡𝠃𝤣𝤘񀭋𝣩𝣴񀀃𝤅𝤇񆇡𝣾𝤍	¿third
𝠀񀀃񀭋񆇡𝠃𝤣𝤘񀭋𝣩𝣴񀀃𝤅𝤇񆇡𝣾𝤍	¿third of three
𝠀񀀃񀭋񆇡𝠃𝤣𝤘񀭋𝣩𝣴񀀃𝤅𝤇񆇡𝣾𝤍	¿3rd
𝠀񀀃񂈁񆕁񉌊񀭂𝠃𝤴𝤢񂈁𝣙𝤆񀀃𝣨𝤓񀭂𝤛𝣫񉌊𝣽𝣺񆕁𝣩𝤄	¿thrice
𝠀񀀃񆕁񋟁񍘡𝠃𝤦𝥂񍘡𝣴𝣵񋟁𝤁𝤩񆕁𝤀𝤚񀀃𝤈𝤒	¿hearing person
𝠀񀀃񋨁񆇡񋾡𝠃𝤰𝤰񋾡𝣴𝣵񆇡𝤁𝤇񀀃𝤒𝤗񋨁𝣸𝤜	¿public
𝠀񀀃񋨁񍛡𝠃𝤯𝤯񍛡𝣴𝣵񀀃𝤑𝤛񋨁𝣹𝤛	¿hearing person
𝠀񀀅񀀍𝠃𝤠𝤖񀀅𝤑𝣷񀀍𝣭𝣸	¿point-feet-down
𝠀񀀅񀀍񇉡񇉱񆙡𝠃𝤲𝤥񀀅𝤈𝤁񀀍𝣳𝤇񇉡𝤘𝣩񇉱𝣚𝣫񆙡𝣽𝣨	¿hose
𝠀񀀅񀀩񋟃񋠋𝠃𝤠𝤶񀀩𝣴𝤘񀀅𝤑𝣖񋟃𝣼𝣷񋠋𝣭𝤅	¿turn
𝠀񀀅񇀥񇀥𝠃𝤑𝤺񀀅𝤂𝣓񇀥𝣼𝣹񇀥𝣽𝤜	¿down-down
𝠀񀀅񀀍񆙡񇉡񇉱𝠃𝤭𝤣񀀅𝤌𝤅񇉡𝤓𝣲񀀍𝣱𝤅񇉱𝣟𝣲񆙡𝤀𝣲񋸡𝣾𝣩	¿socks
𝠀񀀅񀀍񈙇񆿅񆿅񆿅񋵡񍘡𝠃𝥊𝥢񀀍𝣫𝤰񍘡𝣴𝣵񀀅𝤏𝤰񋵡𝣱𝥒񆿅𝤐𝥒񆿅𝤧𝥒񆿅𝤽𝥓񈙇𝤦𝤳	¿there-there!
𝠀񀀅񀁒񋁇𝠃𝤡𝤫񀀅𝣱𝤍񀁒𝣬𝣡񋁇𝤋𝣵	¿these
𝠀񀀅񇀥񇀥𝠃𝤠𝤫񀀅𝣱𝣡񇀥𝣬𝤍񇀥𝤐𝤍	¿feet
𝠀񀀄񀀊񋗢񋗲𝠃𝤳𝤴񀀄𝤕𝣰񀀊𝣮𝤖񋗢𝤇𝣙񋗲𝣙𝤈	¿controversy
𝠀񀀅񀀍񆙡񇉡񇉱񋸥𝠃𝤪𝤥񀀅𝤇𝣨񀀍𝣵𝣬񆙡𝤀𝤎񇉡𝤐𝤋񇉱𝣢𝤌񋸥𝤀𝤟	¿stockings
𝠀񀀅񀀍񈩧񈩳񋸥𝠃𝤟𝤮񀀅𝤏𝣞񀀍𝣯𝣟񈩳𝣮𝣽񈩧𝤐𝤀񋸥𝣿𝤨	¿nervous
𝠀񀀅񂈗񇀥񎲧𝠃𝤭𝤡񎲧𝣠𝤎񂈗𝣽𝤉񀀅𝤚𝣬񇀥𝤝𝤃	¿detail
𝠀񀀅񇆥𝠃𝤓𝤟񀀅𝣿𝣭񇆥𝣺𝤑	¿here
𝠀񀀄񀀌񎺔񎺜񇒡񇒱񎲴񎲼𝠃𝥄𝤠񀀄𝤏𝤉񎺜𝤦𝤄񇒡𝤆𝣬񇒱𝣚𝣬񎲴𝤮𝤅񎺔𝣜𝤆񎲼𝣈𝤆񀀌𝣡𝤋	¿argue
𝠀񀀄񀀌񎺔񎺜񇒡񇒱񎲴񎲼𝠃𝥄𝤠񀀄𝤏𝤉񎺜𝤦𝤄񇒡𝤆𝣬񇒱𝣚𝣬񎲴𝤮𝤅񎺔𝣜𝤆񎲼𝣈𝤆񀀌𝣡𝤋	¿fight
𝠀񀀅񀀍񆙡񇉥񇉵񋸡𝠃𝤪𝤭񀀅𝤊𝤈񀀍𝣷𝤏񇉵𝣣𝣭񇉥𝤐𝣪񆙡𝤁𝣭񋸡𝣿𝣠	¿hose
𝠀񀀅񀀍񉸑񋸥𝠃𝤝𝤲񉸑𝣼𝣚񀀅𝤎𝤇񀀍𝣰𝤆񋸥𝣾𝤬	¿nervous
𝠀񀀅񄣹񋟃𝠃𝤜𝤩񄣹𝣶𝤍񀀅𝤍𝣣񋟃𝣰𝣼	¿satellite
𝠀񀀅񇆥񈚣𝠃𝤞𝤡񀀅𝤏𝣫񇆥𝣾𝤓񈚣𝣯𝤄	¿they down there
𝠀񀀄񁲊񉌍𝠃𝤣𝤥񁲊𝣪𝤊񀀄𝤅𝣨񉌍𝤋𝤉	¿fingers
𝠀񀀅񀀍񆿅񆿕񋻥񍚁𝠃𝤧𝥓񋻥𝣼𝥍񆿅𝤚𝥀񆿕𝣣𝥁񀀅𝤘𝤡񀀍𝣤𝤡񍚁𝣴𝣵	¿this compared to this
𝠀񀀅񀀍񊒡񀀍񀀅񊒲񀀅񀀍񊒡񎇅𝠃𝤘𝧔񀀅𝤅𝥲񀀍𝣱𝥼񀀍𝣳𝦮񀀅𝤆𝦶񊒡𝤀𝦜񊒲𝣴𝥣񀀅𝤆𝤾񀀍𝣳𝤳񊒡𝣿𝤣񎇅𝣴𝣵	¿stupidly follow
𝠀񀀅񆿅񋲡񌏁𝠃𝤘𝥖񌏁𝣴𝣵񀀅𝤅𝤥񆿅𝤉𝤾񋲡𝤌𝥏	¿this
𝠀񀀅񉷡𝠃𝤒𝤡񉷡𝣽𝤀񀀅𝣻𝣫	¿wobble
𝠀񀀄񁲺񉍬񆇡񆇡񆇡񆇡񆇡𝠃𝤰𝤳񁲺𝣝𝤀񀀄𝣵𝣙񆇡𝣩𝣱񆇡𝣷𝣺񆇡𝣾𝤆񆇡𝣿𝤗񆇡𝤁𝤨񉍬𝤗𝣩	¿list things
𝠀񀀅񀀍񇀥񇀱񆿁񆿕񇀥񇀱񋸤񋲱񋲱񋲱񋲱𝠃𝥎𝤱񆿁𝤮𝤅񋲱𝥂𝤨񇀱𝢾𝤅񇀱𝣞𝤃񆿕𝣐𝤎񀀍𝣬𝣛񀀅𝤂𝣥񋸤𝣶𝤥񇀥𝤜𝤁񇀥𝤽𝤀񋲱𝣢𝣲񋲱𝢿𝣳񋲱𝤞𝤧	¿lame
𝠀񀀅񀀍񊒡񊒡񊒲񊒲񍘡񋵡񋵡񋵡񋵡񋻥𝠃𝤲𝥼񀀍𝣙𝥔񋻥𝣸𝥴񀀅𝤝𝥞񊒡𝤟𝥁񊒡𝤏𝤪񊒲𝣛𝤵񊒲𝣦𝤚񍘡𝣴𝣵񋵡𝤝𝥎񋵡𝤎𝤷񋵡𝣤𝥁񋵡𝣯𝤦	¿there
𝠀񀀅񀀍񊒡񊒡񊒲񊒲񍘡񋵡񋵡񋵡񋵡񋻥𝠃𝤲𝥼񀀍𝣙𝥔񋻥𝣸𝥴񀀅𝤝𝥞񊒡𝤟𝥁񊒡𝤏𝤪񊒲𝣛𝤵񊒲𝣦𝤚񍘡𝣴𝣵񋵡𝤝𝥎񋵡𝤎𝤷񋵡𝣤𝥁񋵡𝣯𝤦	¿there!
𝠀񀀉񂣳񆊡񆿡𝠃𝤛𝤦񀀉𝤌𝤈񂣳𝤃𝣹񆊡𝣲𝤌񆿡𝤈𝣧	¿exceptional
𝠀񀀅񀀉񉎉𝠃𝤛𝤟񀀅𝤆𝣭񀀉𝤌𝤁񉎉𝣲𝣼	¿around
𝠀񀀅񀀍񇆥񇆵񋸥𝠃𝤣𝤣񀀅𝤐𝣪񀀍𝣭𝣪񇆥𝤊𝤍񇆵𝣪𝤍񋸥𝣿𝤝	¿right there
𝠀񀀅񀀍񇆥񇆵񋸥𝠃𝤣𝤣񀀅𝤐𝣪񀀍𝣭𝣪񇆥𝤊𝤍񇆵𝣪𝤍񋸥𝣿𝤝	¿This
𝠀񀀅񀀍񇆥񇆵񋸥𝠃𝤣𝤣񀀅𝤐𝣪񀀍𝣭𝣪񇆥𝤊𝤍񇆵𝣪𝤍񋸥𝣿𝤝	¿this exact spot
𝠀񀀅񀀕񀀩񋟃񋠋𝠃𝤠𝤶񀀩𝣴𝤘񀀅𝤑𝣖񋟃𝣼𝣷񋠋𝣭𝤅񀀕𝤑𝣖	¿turn around
𝠀񀀅񇀥𝠃𝤗𝤟񀀅𝤈𝣮񇀥𝣶𝤁	¿foot
𝠀񀀉񆯢񇉷񌏁𝠃𝤘𝤘񌏁𝣴𝣵񇉷𝣼𝣘񀀉𝣛𝣹񆯢𝣡𝣻	¿don’t understand??
𝠀񀀉񈗵񀉉𝠃𝤎𝤱񀀉𝣾𝣜񈗵𝣿𝤀񀉉𝣿𝤗	¿you ask me?
𝠀񀀉񈗵񀉉𝠃𝤎𝤱񀀉𝣾𝣜񈗵𝣿𝤀񀉉𝣿𝤗	¿ask
𝠀񀀋񋟅񌞁𝠃𝤘𝤳񌞁𝣴𝣵񀀋𝣩𝤣񋟅𝤂𝤚	¿hearing
𝠀񀀑񀟲񀟲񀟺񆐡񈗣񆿄񍉡𝠃𝤘𝥥񍉡𝣴𝣵񀀑𝣻𝤊񀟲𝣃𝥊񈗣𝣲𝤨񀟲𝣛𝤦񀟺𝢶𝥉񆿄𝣕𝤷񆐡𝣒𝥆	¿imposter
𝠀񀀑񆇡񈗡񍘡𝠃𝤘𝤬񍘡𝣴𝣵񀀑𝣻𝤎񆇡𝣭𝤘񈗡𝣚𝤑	¿is
𝠀񀀉񈯵񋲡𝠃𝤝𝤢񀀉𝣰𝣫񈯵𝤅𝤁񋲡𝤐𝤛	¿walkup to me
𝠀񀀑񀀑񉍣񉍳񋸢𝠃𝤨𝤨񀀑𝤁𝤊񀀑𝤙𝣳񉍣𝣾𝣤񉍳𝣤𝤀񋸢𝣩𝣧	¿go
𝠀񀀑񀀙񈢂񈢒񋸡񍘡𝠃𝤘𝤯񍘡𝣴𝣵񀀑𝣜𝤊񀀙𝣄𝤑񈢂𝣘𝣷񈢒𝢴𝣻񋸡𝣉𝣮	¿talk
𝠀񀀑񁪱񊒦񌱡𝠃𝤞𝤘񌱡𝣴𝣵񀀑𝣻𝢵񁪱𝣽𝣜񊒦𝤐𝣐	¿god
𝠀񀀑񆇡񈗣񆇡񋸨񌀆𝠃𝤧𝤭񌀆𝣴𝣵񀀑𝤇𝤏񆇡𝤝𝤍񈗣𝣲𝤞񋸨𝣸𝤊񆇡𝣬𝤍	¿single
𝠀񀀉񋁅񌞁𝠃𝤘𝥅񌞁𝣴𝣵񀀉𝣧𝤖񋁅𝣸𝤸	¿we
𝠀񀀑񀀙񂈑񂈑񇀦񇀴񍘡𝠃𝤹𝥴񀀑𝣼𝤐񀀙𝣼𝤠񇀦𝤏𝤻񇀴𝣡𝤺񂈑𝤭𝥙񂈑𝣖𝥙񍘡𝣴𝣵	¿passive
𝠀񀀑񀀙񈢄񈢔񋸡񍘡𝠃𝥒𝤩񍘡𝣴𝣵񀀑𝤲𝤋񀀙𝤞𝣼񈢔𝤥𝣪񈢄𝤾𝣶񋸡𝤸𝣥	¿talk
𝠀񀀑񆇡񈗣񆇡񎱆𝠃𝤣𝤧񎱆𝣪𝣥񀀑𝤎𝤉񆇡𝣺𝤈񆇡𝤋𝤈񈗣𝣾𝣵	¿wastebasket
𝠀񀀉񋵡𝠃𝤎𝤙񀀉𝣿𝣴񋵡𝤁𝤔	¿classifier-1-hand
𝠀񀀉񋵡𝠃𝤎𝤙񀀉𝣿𝣴񋵡𝤁𝤔	¿cl-1
𝠀񀀑񀀙񈗢񈗶񆇡𝠃𝤩𝤦񀀑𝤚𝤂񀀙𝣣𝣦񆇡𝤅𝤀񈗶𝣲𝤊񈗢𝤅𝤙	¿meet
𝠀񀀑񀀙񈢄񈢔񋸡񍘡𝠃𝥒𝤩񍘡𝣴𝣵񀀑𝤲𝤋񀀙𝤞𝣼񈢔𝤥𝣪񈢄𝤾𝣶񋸡𝤸𝣥	¿talk
